ec2-php-c6gnlarge
ARMv8 Neoverse-N1 testing on Amazon Linux 2 via the Phoronix Test Suite.

 ,,"php71","php72","php74","php8"
Processor,,ARMv8 Neoverse-N1 (2 Cores),ARMv8 Neoverse-N1 (2 Cores),ARMv8 Neoverse-N1 (2 Cores),ARMv8 Neoverse-N1 (2 Cores)
Motherboard,,Amazon EC2 c6gn.large (1.0 BIOS),Amazon EC2 c6gn.large (1.0 BIOS),Amazon EC2 c6gn.large (1.0 BIOS),Amazon EC2 c6gn.large (1.0 BIOS)
Chipset,,Amazon Device 0200,Amazon Device 0200,Amazon Device 0200,Amazon Device 0200
Memory,,4096MB,4096MB,4096MB,4096MB
Disk,,9GB Amazon Elastic Block Store,9GB Amazon Elastic Block Store,9GB Amazon Elastic Block Store,9GB Amazon Elastic Block Store
Network,,Amazon Elastic,Amazon Elastic,Amazon Elastic,Amazon Elastic
OS,,Amazon Linux 2,Amazon Linux 2,Amazon Linux 2,Amazon Linux 2
Kernel,,4.14.238-182.422.amzn2.aarch64 (aarch64) 20210720,4.14.238-182.422.amzn2.aarch64 (aarch64) 20210720,4.14.238-182.422.amzn2.aarch64 (aarch64) 20210720,4.14.238-182.422.amzn2.aarch64 (aarch64) 20210720
Compiler,,GCC 7.3.1 20180712,GCC 7.3.1 20180712,GCC 7.3.1 20180712,GCC 7.3.1 20180712
File-System,,xfs,xfs,xfs,xfs

 ,,"php71","php72","php74","php8"
"PHP Micro Benchmarks - Test: Zend bench (sec)",LIB,1.023,1.014,0.616,0.527
"PHP Micro Benchmarks - Test: Zend micro_bench (sec)",LIB,5.300,5.141,3.216,3.062

